CIC0,SM1_DzZ,GATS1i,NdsCH,NdssC,MLOGP,LC50
4.1695,0.134,1.671,0.0,0.0,4.490099999999996,4.628
2.405,0.134,0.843,0.0,0.0,1.769,3.21
3.052,0.638,0.903,0.0,0.0,3.237,4.906
3.629,0.331,1.478,0.0,1.0,2.821,3.24
3.734,0.223,1.426,0.0,0.0,2.502,3.18
1.7752,1.079,1.44,1.0,1.0,2.081,3.47
3.023,0.56,1.349,1.0,0.0,1.239,3.917
1.961,0.134,1.215,1.0,0.0,0.548,2.567
2.834,0.134,1.009,0.0,0.0,2.066,3.448
3.402,0.496,1.45,1.0,0.0,2.345,4.557
2.479,0.887,0.954,0.0,0.0,1.748,4.257
2.62,0.499,0.99,0.0,0.0,3.21,4.33
4.1695,1.4397999999999995,0.964,0.0,0.0,3.522,5.19
4.029,0.965,1.729,0.0,0.0,4.038,4.451
2.781,0.711,1.147,0.0,0.0,1.515,3.846
1.7752,1.03,0.906,0.0,0.0,1.064,5.558
2.359,0.405,0.814,0.0,0.0,0.893,4.287
2.508,0.58,0.941,0.0,0.0,1.701,3.483
3.74,0.134,1.581,0.0,0.0,2.274,3.721
2.08,0.764,0.799,0.0,0.0,1.514,4.961
3.323,0.405,1.17,0.0,2.0,2.592,4.577
3.763,0.916,0.878,0.0,2.0,2.918,4.818
2.024,0.405,2.0102999999999995,0.0,1.0,0.133,2.269
2.982,0.496,1.151,0.0,1.0,1.783,3.522
3.103,0.134,1.521,0.0,0.0,2.193,3.267
4.1695,0.251,1.287,1.0,2.0,4.453,6.483
1.7752,0.713,1.19,0.0,0.0,0.501,2.319
3.645,0.223,1.155,0.0,0.0,3.105,5.178
3.315,0.223,0.799,0.0,0.0,3.127,4.44
3.452,0.331,1.098,0.0,1.0,2.54,3.742
4.1695,0.56,1.137,1.0,2.0,4.332,6.4837
3.557,0.331,1.301,1.0,1.0,2.209,4.711
2.888,0.405,1.472,1.0,2.0,1.522,5.105
2.465,1.4397999999999995,1.0,0.0,2.0,3.558,6.4837
2.086,1.4397999999999995,0.799,0.0,0.0,4.490099999999996,6.4837
3.405,0.251,1.56,0.0,0.0,1.272,4.132
2.448,0.638,0.921,0.0,0.0,1.701,3.521
2.685,0.405,1.145,0.0,0.0,1.246,3.219
2.726,0.496,1.108,0.0,1.0,1.06,3.1
2.888,0.251,1.771,0.0,0.0,1.398,2.983
1.962,1.345,0.799,0.0,0.0,3.617,5.752
2.126,1.278,0.896,0.0,0.0,4.490099999999996,5.361
3.0,0.134,0.938,1.0,0.0,2.851,3.513
3.036,0.405,1.205,0.0,1.0,2.351,4.247
3.485,0.223,1.614,0.0,0.0,1.94,3.507
3.609,0.811,1.208,0.0,0.0,3.291,4.38
3.423,1.19,1.993,0.0,2.0,-0.317,3.689
2.91,0.134,1.0,0.0,0.0,2.608,3.447
3.041,0.947,1.298,0.0,1.0,1.976,6.4837
2.677,0.331,1.582,0.0,1.0,0.586,2.895
3.315,0.916,1.753,0.0,2.0,-0.317,2.501
3.867,0.134,1.4,1.0,0.0,3.659,5.678
3.033,0.693,1.312,1.0,0.0,1.21,4.832
1.7752,0.83,1.432,0.0,1.0,1.672,2.856
2.118,0.956,2.0102999999999995,0.0,0.0,-0.317,3.845
3.046,0.134,1.333,0.0,2.0,2.352,4.075
3.567,0.711,1.501,1.0,2.0,1.759,4.043
2.125,0.638,0.831,0.0,0.0,1.348,3.531
2.448,0.638,1.121,0.0,0.0,1.701,2.904
